4,211,18,20,19,9,8
5,210,19,21,21,8,9
7,207,20,21,22,8,12
2,207,13,18,15,6,9
7,210,20,20,23,8,12
2,204,14,16,19,3,10
5,206,17,18,21,7,12
0,204,16,18,21,6,10
6,210,20,19,23,9,10
5,201,19,14,19,4,10
7,206,20,17,22,6,11
6,202,20,17,23,6,12
8,205,20,20,22,8,13
0,202,14,17,20,5,7
7,205,20,17,22,7,14
5,206,17,17,21,4,12
6,206,19,18,22,9,12
7,208,19,19,22,8,12
1,207,13,16,19,5,8
8,205,19,19,22,8,13
3,210,16,17,19,5,10
5,209,18,19,21,8,12
6,204,18,16,21,6,10
5,206,17,17,20,7,9
5,209,19,19,22,8,11
6,208,19,19,21,6,11
7,207,18,17,22,5,10
4,203,18,14,21,2,9
2,210,19,21,22,8,10
5,210,18,21,21,10,11
5,210,21,19,21,7,11
8,211,19,18,23,7,12
5,207,21,19,21,7,10
3,210,19,20,23,7,11
4,209,14,21,20,8,8
7,206,18,15,17,3,10
3,203,18,17,20,3,12
4,207,18,21,18,9,10
6,203,20,15,20,3,11
5,207,20,15,20,5,10
6,207,20,21,23,9,12
6,207,19,18,23,3,10
7,207,21,15,23,4,11
6,206,20,19,20,9,11
7,202,18,15,20,3,12
4,207,18,17,19,7,11
6,208,20,20,23,7,10
5,205,16,18,20,9,9
7,210,20,20,21,7,12
6,209,17,19,19,9,13
6,204,19,16,23,5,14
5,212,20,18,22,8,11
2,210,15,21,18,8,6
6,208,19,20,21,10,11
2,206,16,18,18,8,8
0,208,17,19,20,7,7
7,207,21,21,22,9,11
4,202,18,17,19,4,9
6,211,19,20,21,7,11
6,207,20,20,22,8,13
4,204,15,18,18,5,10
5,209,17,19,22,7,10
5,210,21,21,20,8,13
2,207,13,15,17,6,9
6,207,21,19,23,7,11
6,205,20,20,23,7,12
2,203,14,17,20,4,8
7,209,20,20,21,6,14
6,207,15,20,20,9,11
6,208,20,20,22,8,11
4,205,14,16,17,3,7
5,206,18,16,20,4,9
2,209,18,21,20,9,8
4,208,19,20,22,6,12
6,210,18,19,23,8,13
6,210,18,21,23,7,12
0,209,15,18,19,8,6
4,205,17,15,21,3,11
7,203,20,17,22,5,13
5,211,16,20,20,9,9
6,209,19,19,22,8,13
6,209,16,19,19,8,12
5,209,19,19,22,9,12
5,209,20,20,23,7,13
4,209,19,18,21,8,12
6,210,20,19,24,8,12
2,209,16,17,18,7,6
5,205,19,15,21,6,12
6,207,20,19,23,7,13
2,205,16,17,20,4,7
5,207,19,20,22,8,12
6,205,20,18,22,7,12
4,205,15,18,20,8,10
4,209,15,21,18,9,9
7,210,21,20,22,7,11
3,205,17,20,19,8,10
7,210,17,21,18,8,10
6,209,17,20,18,7,12
5,200,17,19,19,7,10
6,204,19,14,22,4,11
2,11,16,20,51,12,6
6,9,18,18,55,12,12
6,11,19,20,54,14,11
4,10,16,21,55,14,10
5,10,18,20,54,13,12
6,10,18,20,54,13,9
6,11,18,21,54,12,12
7,11,19,20,54,13,13
6,8,19,20,56,13,13
6,10,19,19,54,12,13
4,9,17,20,54,13,12
6,12,19,21,54,14,10
6,11,20,21,54,12,12
2,11,16,19,51,13,7
5,12,18,19,54,12,10
4,7,17,15,51,8,10
3,12,17,21,53,13,8
7,13,19,20,54,13,12
6,11,18,19,55,13,10
0,12,17,17,52,11,8
7,9,19,18,55,13,11
3,9,17,19,52,11,10
5,11,19,21,55,15,13
6,12,18,21,54,13,12
3,9,18,19,52,13,10
2,5,17,13,52,6,11
6,6,19,15,54,8,10
4,11,18,20,54,13,12
5,9,18,21,54,14,12
2,5,18,18,52,13,10
6,9,18,20,53,12,12
0,9,14,18,50,9,7
3,8,15,17,51,9,10
6,10,19,21,54,13,13
6,11,19,20,54,13,12
4,12,18,20,53,15,11
8,8,20,18,55,13,13
5,8,19,19,55,13,9
7,6,19,18,54,10,14
6,10,19,20,55,14,12
6,11,19,20,54,15,10
6,10,19,20,54,13,11
6,12,19,19,55,13,10
7,11,19,22,55,14,12
2,9,14,20,49,13,5
3,13,16,20,50,12,8
2,10,16,19,51,12,8
4,10,20,20,54,13,12
2,9,16,19,52,10,7
0,12,12,22,50,12,6
5,9,20,19,55,14,11
6,10,19,20,54,11,12
4,10,17,17,52,10,9
2,11,17,21,54,13,10
6,11,18,21,54,13,13
4,7,17,17,50,11,11
7,11,19,21,55,15,12
3,13,15,22,51,14,9
6,10,19,16,54,10,11
6,11,20,20,54,14,11
6,11,20,20,54,14,11
6,8,18,20,54,13,11
3,10,17,20,54,11,10
0,12,16,21,52,13,6
7,12,19,18,55,15,12
4,8,16,20,51,14,9
5,9,18,17,53,10,10
6,12,18,20,53,13,11
1,9,18,17,51,10,6
5,10,20,21,54,13,11
5,11,18,16,55,9,12
6,8,18,16,53,9,12
7,12,19,21,55,13,12
2,9,15,19,50,12,8
4,8,19,18,53,9,11
3,4,17,16,50,6,11
6,5,19,15,54,10,12
4,11,20,21,53,14,10
6,10,19,20,54,15,12
4,13,18,22,54,15,12
4,7,15,17,51,8,8
5,11,18,21,53,14,10
5,8,20,19,56,11,11
5,8,19,19,54,12,13
6,11,19,19,55,13,11
5,9,19,21,53,12,13
6,10,17,17,54,9,11
6,6,19,18,53,9,12
6,11,18,20,54,13,12
6,11,19,21,54,13,12
7,11,20,22,55,12,12
6,10,19,20,53,13,12
7,12,19,22,54,14,12
6,9,19,19,54,14,11
4,12,17,20,53,11,9
6,12,20,19,53,13,12
6,11,19,20,56,12,11
2,11,16,22,51,13,9
3,13,16,22,53,15,10
5,11,19,21,53,13,11
