0,7,4,12,7,1,1,10.0,135.0,125.0
135,5,5,4,7,0,3,4.0,158.0,142.0
0,0,0,6,10,1,0,6.0,77.0,63.0
0,0,2,5,5,1,19,8.0,36.0,24.0
0,0,4,6,118,17,3,2.0,79.0,61.0
0,1,2,5,4,155,1,4.0,58.0,42.0
0,3,74,269,88,5,4,4.0,98.0,82.0
0,1,1,3,3,0,17,8.0,36.0,24.0
139,7,3,7,6,1,1,4.0,158.0,142.0
1,2,899,28,9,1,5,2.0,119.0,101.0
0,5,4,9,5,0,3,10.0,135.0,125.0
0,3,28,22,7,2,1,6.0,117.0,103.0
1,0,2,1,4,0,80,6.0,37.0,23.0
0,1,0,7,21,4,0,4.0,78.0,62.0
0,0,2,3,7,650,1,2.0,59.0,41.0
0,0,2,2,10,0,1,8.0,76.0,64.0
0,1,4,5,7,0,3,10.0,135.0,125.0
0,0,101,94,38,13,0,6.0,97.0,83.0
0,0,1,4,8,0,273,4.0,38.0,22.0
0,53,8,20,5,2,2,6.0,137.0,123.0
0,1,0,6,0,0,0,10.0,155.0,145.0
0,0,2,8,6,1,6,10.0,35.0,25.0
0,4,12,1132,166,2,3,2.0,99.0,81.0
0,2,0,7,4,651,0,2.0,59.0,41.0
0,1,10,18,6,2,3,8.0,116.0,104.0
0,0,0,5,4,1,0,8.0,76.0,64.0
2,0,3,5,6,1,8,10.0,35.0,25.0
0,1,3,5,7,1,81,6.0,37.0,23.0
0,1,0,8,7,40,0,6.0,57.0,43.0
0,0,0,4,4,7,0,10.0,55.0,45.0
0,0,0,4,4,6,0,10.0,55.0,45.0
1,8,2,9,8,0,3,10.0,135.0,125.0
0,0,0,7,3,153,0,4.0,58.0,42.0
0,9,0,12,1,3,0,10.0,135.0,125.0
8,1,0,5,1,0,0,8.0,156.0,144.0
0,1,104,93,41,14,3,6.0,97.0,83.0
0,55,1,21,0,1,0,6.0,137.0,123.0
36,3,6,6,8,0,3,6.0,157.0,143.0
0,0,3,1,27,1,3,4.0,78.0,62.0
0,0,0,4,7,0,0,8.0,76.0,64.0
2,0,3,5,7,0,974,2.0,39.0,21.0
0,198,8,16,8,3,3,4.0,138.0,122.0
1,2,3,3,9,2,4,8.0,76.0,64.0
37,3,5,4,7,1,3,6.0,157.0,143.0
0,0,4,7,7,2,20,8.0,36.0,24.0
10,0,4,2,6,0,3,8.0,156.0,144.0
1,0,56,30,22,7,3,8.0,96.0,84.0
0,3,10,1130,164,0,2,2.0,99.0,81.0
0,1,9,1127,163,0,0,2.0,99.0,81.0
2,0,73,268,87,3,3,4.0,98.0,82.0
0,0,103,89,42,9,2,6.0,97.0,83.0
0,2,2,7,5,16,1,8.0,56.0,44.0
0,4,24,23,0,2,0,6.0,117.0,103.0
0,191,9,12,6,0,3,4.0,138.0,122.0
0,0,2,6,8,37,3,6.0,57.0,43.0
0,18,0,16,1,1,0,8.0,136.0,124.0
33,4,0,4,3,2,0,6.0,157.0,143.0
12,1,5,5,7,0,5,8.0,156.0,144.0
7,0,4,0,8,0,5,10.0,155.0,145.0
0,1,4,7,7,41,5,6.0,57.0,43.0
0,988,4,7,6,4,0,2.0,139.0,121.0
0,0,57,33,21,10,4,8.0,96.0,84.0
0,2,5,16,7,2,2,10.0,115.0,105.0
29,4,0,7,3,3,0,6.0,157.0,143.0
0,1,56,36,22,10,2,8.0,96.0,84.0
0,2,3,7,8,2,1,8.0,76.0,64.0
0,2,0,4,2,13,0,8.0,56.0,44.0
0,3,3,8,7,652,2,2.0,59.0,41.0
0,2,1,1,12,0,2,6.0,77.0,63.0
0,0,2,4,5,0,18,8.0,36.0,24.0
0,0,2,7,6,1,20,8.0,36.0,24.0
8,0,1,5,1,0,0,8.0,156.0,144.0
0,7,1,12,2,1,0,10.0,135.0,125.0
0,2,0,5,6,0,0,8.0,76.0,64.0
35,4,3,7,6,0,1,6.0,157.0,143.0
0,193,7,14,7,1,2,4.0,138.0,122.0
589,7,6,0,8,0,7,2.0,159.0,141.0
0,0,25,12,14,2,3,10.0,95.0,85.0
0,2,0,5,10,3,0,6.0,77.0,63.0
0,7,8,1133,161,4,0,2.0,99.0,81.0
3,0,106,89,44,10,4,6.0,97.0,83.0
1,4,897,27,10,1,5,2.0,119.0,101.0
1,979,7,3,8,0,3,2.0,139.0,121.0
0,3,7,17,6,1,4,10.0,115.0,105.0
0,0,1,7,6,155,1,4.0,58.0,42.0
2,0,7,8,9,0,4,10.0,115.0,105.0
0,1,24,16,14,6,2,10.0,95.0,85.0
0,2,10,18,5,0,2,8.0,116.0,104.0
0,5,28,24,6,0,0,6.0,117.0,103.0
0,2,137,21,4,4,0,4.0,118.0,102.0
0,18,1,15,1,1,0,8.0,136.0,124.0
0,195,8,14,7,0,3,4.0,138.0,122.0
5,0,3,5,8,0,4,10.0,155.0,145.0
0,0,0,7,1,1,16,8.0,36.0,24.0
0,1,0,4,1,0,269,4.0,38.0,22.0
0,0,1,1,7,0,19,8.0,36.0,24.0
0,3,5,16,6,2,2,10.0,115.0,105.0
0,4,138,19,8,1,2,4.0,118.0,102.0
0,0,0,6,5,2,0,10.0,75.0,65.0
1,3,74,269,87,3,3,4.0,98.0,82.0
34,5,3,6,7,2,3,6.0,157.0,143.0
0,3,137,16,7,0,4,4.0,118.0,102.0
0,6,12,1131,165,3,4,2.0,99.0,81.0
0,2,0,7,10,2,0,6.0,77.0,63.0
0,0,3,6,14,2,1,6.0,77.0,63.0
0,1,7,15,6,0,4,10.0,115.0,105.0
0,1,2,7,5,38,4,6.0,57.0,43.0
0,0,56,32,22,6,2,8.0,96.0,84.0
2,2,904,27,9,0,4,2.0,119.0,101.0
0,1,3,6,7,16,3,8.0,56.0,44.0
0,0,2,7,8,4,3,10.0,75.0,65.0
1,193,9,12,7,0,3,4.0,138.0,122.0
0,4,901,28,6,2,0,2.0,119.0,101.0
0,1,0,6,3,1,971,2.0,39.0,21.0
0,5,9,20,6,3,2,8.0,116.0,104.0
0,197,8,15,7,0,4,4.0,138.0,122.0
0,8,4,11,6,2,3,10.0,135.0,125.0
0,1,1,3,3,0,17,8.0,36.0,24.0
34,2,1,4,4,1,1,6.0,157.0,143.0
2,15,7,12,8,0,4,8.0,136.0,124.0
1,8,5,10,7,0,2,10.0,135.0,125.0
134,7,1,6,4,1,0,4.0,158.0,142.0
8,0,0,5,3,1,0,8.0,156.0,144.0
0,1,9,20,5,1,2,8.0,116.0,104.0
0,1,2,5,4,1,16,8.0,36.0,24.0
34,3,4,4,8,0,3,6.0,157.0,143.0
0,51,8,21,7,1,3,6.0,137.0,123.0
2,0,3,3,6,0,274,4.0,38.0,22.0
1,0,2,2,5,0,972,2.0,39.0,21.0
0,987,0,7,2,3,0,2.0,139.0,121.0
0,1,1,6,23,4,1,4.0,78.0,62.0
0,985,4,7,7,3,3,2.0,139.0,121.0
2,55,8,20,8,1,4,6.0,137.0,123.0
0,1,9,18,6,1,2,8.0,116.0,104.0
0,2,3,7,8,154,2,4.0,58.0,42.0
0,1,2,2,7,35,3,6.0,57.0,43.0
136,7,3,5,6,0,2,4.0,158.0,142.0
0,52,7,19,5,0,0,6.0,137.0,123.0
0,1,5,16,6,2,2,10.0,115.0,105.0
1,195,6,10,5,0,2,4.0,138.0,122.0
0,2,1,8,4,38,0,6.0,57.0,43.0
0,2,0,5,4,40,2,6.0,57.0,43.0
1,2,1,4,7,1,275,4.0,38.0,22.0
0,2,8,15,5,0,1,8.0,116.0,104.0
585,14,5,5,8,3,3,2.0,159.0,141.0
0,1,9,17,8,0,2,8.0,116.0,104.0
2,18,5,13,3,0,3,8.0,136.0,124.0
0,54,8,21,7,0,2,6.0,137.0,123.0
1,0,1,6,6,1,5,10.0,35.0,25.0
0,0,7,1125,163,1,0,2.0,99.0,81.0
3,0,3,2,10,0,3,8.0,76.0,64.0
0,1,2,5,7,2,0,8.0,76.0,64.0
0,0,3,3,115,16,3,2.0,79.0,61.0
0,3,0,6,5,16,0,8.0,56.0,44.0
31,4,0,5,1,1,0,6.0,157.0,143.0
34,4,2,5,7,2,2,6.0,157.0,143.0
0,0,1,1,12,1,0,6.0,77.0,63.0
