"Zone 1",4,9,21,31,42,5,38
"Zone 1",5,3,18,28,41,1,37
"Zone 1",5,10,18,32,40,7,39
"Zone 1",2,6,13,31,42,5,35
"Zone 1",5,9,18,32,43,7,38
"Zone 1",0,9,12,33,39,7,32
"Zone 1",4,10,21,31,44,5,39
"Zone 1",0,9,14,32,38,5,36
"Zone 1",5,8,19,30,42,4,37
"Zone 1",0,9,14,32,37,6,33
"Zone 1",5,4,18,28,42,2,38
"Zone 1",3,8,17,31,42,3,36
"Zone 1",0,8,15,32,37,5,33
"Zone 1",5,5,19,30,42,5,38
"Zone 1",1,9,13,33,38,6,34
"Zone 1",0,8,16,31,40,6,32
"Zone 1",2,7,19,32,42,5,37
"Zone 1",7,9,19,33,43,7,38
"Zone 1",3,9,13,33,36,7,33
"Zone 1",2,8,12,27,37,2,35
"Zone 1",6,6,19,32,41,4,36
"Zone 1",6,8,17,33,41,6,36
"Zone 1",4,7,19,30,43,5,37
"Zone 1",5,10,19,34,42,6,38
"Zone 1",5,10,18,34,43,7,39
"Zone 1",7,8,19,32,42,7,39
"Zone 1",4,5,19,29,41,1,37
"Zone 1",6,8,20,33,44,7,38
"Zone 1",5,8,19,33,42,8,37
"Zone 1",3,9,18,31,42,5,35
"Zone 1",7,9,20,32,44,7,40
"Zone 1",4,8,16,30,40,1,37
"Zone 1",6,5,18,32,42,5,37
"Zone 1",6,10,19,31,42,7,38
"Zone 1",4,9,19,30,42,6,38
"Zone 1",5,9,19,32,42,7,37
"Zone 1",3,5,18,31,42,6,38
"Zone 1",0,9,14,27,37,3,32
"Zone 1",4,9,32,52,54,7,40
"Zone 1",4,24,67,21,16,6,37
"Zone 1",4,58,12,14,17,4,38
"Zone 1",6,62,11,13,17,5,38
"Zone 1",2,70,9,11,13,4,34
"Zone 1",4,61,9,9,14,2,36
"Zone 1",5,64,11,15,16,4,37
"Zone 1",5,64,11,15,16,5,39
"Zone 1",3,62,11,14,17,3,37
"Zone 1",3,62,11,13,17,3,38
"Zone 1",4,64,10,14,13,6,33
"Zone 1",5,63,11,14,16,4,36
"Zone 1",0,63,6,13,12,3,32
"Zone 1",5,61,12,13,17,3,36
"Zone 1",4,63,10,14,16,4,37
"Zone 1",5,65,12,15,17,7,38
"Zone 1",6,66,13,17,18,7,39
"Zone 1",0,65,6,15,15,5,30
"Zone 1",1,62,8,10,13,2,34
"Zone 1",5,56,10,11,17,3,37
"Zone 1",58,10,8,9,14,3,36
"Zone 1",3,6,8,11,15,3,37
"Zone 1",5,5,8,11,16,2,37
"Zone 1",7,7,10,13,17,3,35
"Zone 1",4,39,10,13,17,6,37
"Zone 1",5,17,720,15,18,2,37
"Zone 1",4,70,113,16,15,5,35
"Zone 1",4,196,109,12,16,3,38
"Zone 1",6,208,90,16,18,6,38
"Zone 1",4,322,125,14,14,5,33
"Zone 1",4,98,39,11,18,5,36
"Zone 1",1,398,13,12,17,8,37
"Zone 1",4,292,11,12,17,7,36
"Zone 1",27,187,8,12,15,5,37
"Zone 1",2,212,13,8,14,1,35
"Zone 1",5,213,17,12,18,6,38
"Zone 1",5,214,17,13,17,6,38
"Zone 1",2,215,12,9,12,2,35
"Zone 1",2,211,13,7,14,2,34
"Zone 1",6,212,16,13,16,5,38
"Zone 1",2,215,14,12,14,5,35
"Zone 1",4,215,15,8,17,0,37
"Zone 1",0,214,11,13,12,6,34
"Zone 1",0,213,14,13,17,6,35
"Zone 1",5,213,15,5,15,2,36
"Zone 1",0,215,11,11,13,4,33
"Zone 1",1,215,10,10,11,6,31
"Zone 1",3,214,12,10,13,5,34
"Zone 1",4,211,12,8,12,2,34
"Zone 1",0,223,9,6,12,2,36
"Zone 1",5,165,10,14,18,5,37
"Zone 1",5,3,9,10,16,1,37
"Zone 1",0,8,5,11,12,4,32
"Zone 1",6,7,10,11,17,3,38
"Zone 1",1,9,4,12,12,6,33
